year,min_price_min,max_price_max
1990-01-01,1.09205298013245,2.280353200883002
1991-01-01,0.9911699779249448,2.1933774834437085
1992-01-01,0.8205298013245033,1.799558498896247
1993-01-01,0.990728476821192,1.9278145695364235
1994-01-01,1.3110375275938189,5.110816777041943
1995-01-01,2.0505518763796906,4.100441501103752
1996-01-01,1.3920529801324502,3.17991169977925
1997-01-01,1.483222958057395,7.030905077262693
1998-01-01,1.7006622516556291,4.20728476821192
1999-01-01,1.291832229580574,3.0982339955849887
2000-01-01,0.6706401766004414,2.8726269315673285
2001-01-01,0.51280353200883,1.7863134657836643
2002-01-01,0.503532008830022,1.5607064017660044
2003-01-01,0.752980132450331,1.4911699779249443
2004-01-01,0.6991169977924945,2.334437086092715
2005-01-01,0.8158940397350993,2.99205298013245
2006-01-01,1.3156732891832228,2.900883002207505
2007-01-01,1.6997792494481234,3.093156732891832
2008-01-01,1.8214128035320087,3.529801324503311
2009-01-01,1.533774834437086,4.681015452538631
2010-01-01,1.4845474613686531,5.783002207505519
2011-01-01,2.1465783664459157,6.908388520971301
2012-01-01,2.1322295805739513,5.649227373068432
2013-01-01,1.759602649006622,3.734878587196467
2014-01-01,1.936644591611479,4.973289183222957
2015-01-01,1.7501103752759382,4.194260485651213
2016-01-01,1.634437086092715,4.064459161147902
2017-01-01,1.9335540838852097,3.722075055187638
2018-01-01,1.6931567328918322,3.173730684326711
